벌새,8.76,0.01,138분
베스트 오퍼,8.68,0.01,131분
빈폴,7.71,0.01,137분
소공녀,8.78,0.01,106분
시네마 천국,9.32,0.01,124분
아이 빌리브,8.62,0.01,89분
앙상블,7.92,0.01,119분
어느 가족,9.21,0.01,121분
어메이징 그레이스,8.62,0.01,89분
여름날,8.89,0.01,82분
오두막,8.63,0.01,132분
우리 안의 그들,9.43,0.01,75분
우리들,9.28,0.01,94분
우리의 20세기,8.25,0.01,119분
워터 릴리스,9.01,0.01,83분
원더,9.50,0.01,113분
이다,8.29,0.01,82분
이타미 준의 바다,8.95,0.01,112분
인 디 아일,8.23,0.01,125분
조류인간,7.01,0.01,112분
조용한 열정,7.38,0.01,125분
조조 래빗,9.16,0.01,108분
족구왕,8.55,0.01,104분
죽은 시인의 사회,9.37,0.01,128분
철원기행,7.87,0.01,99분
춘천, 춘천,7.70,0.01,77분
칠곡 가시나들,9.13,0.01,100분
카일라스 가는 길,9.39,0.01,89분
카페 벨에포크,8.42,0.01,115분
클랜,7.07,0.01,108분
타샤 튜더,9.04,0.01,104분
팡파레,7.58,0.01,88분
퍼니 게임,5.90,0.01,111분
퐁네프의 연인들,8.64,0.01,125분
프란시스 하,8.13,0.01,86분
프록시마 프로젝트,8.13,0.01,107분
플로리다 프로젝트,8.64,0.01,111분
하늘의 황금마차,7.14,0.01,84분
하얀 리본,7.91,0.01,142분
한여름의 판타지아,7.79,0.01,97분
해수의 아이,6.52,0.01,111분
헤로니모,9.48,0.01,93분
호랑이보다 무서운 겨울손님,7.04,0.01,107분
홀리 모터스,7.44,0.01,115분
홈,8.82,0.01,100분
후쿠오카,6.59,0.01,85분
히든,6.96,0.01,118분
귀여운 여인,8.72,,119분
귀주 이야기,8.90,,100분
기억할 만한 지나침,7.38,,166분
레버넌트: 죽음에서 돌아온 자,7.85,,156분
레볼루셔너리 로드,8.39,,118분
마담 B,9.47,,71분
물숨,9.10,,81분
미스 사이공: 25주년 특별 공연,9.20,,175분
바스켓볼 다이어리,8.92,,102분
붉은 수수밭,8.34,,90분
셔터 아일랜드,8.38,,138분
인퍼머스,6.79,,100분
홍등,9.16,,123분
